epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7107,1.32176,4.68388,1.26864,0.04312,0.06655,0.0257,0.01859,1.07666,4.32029,1.11471,5.08491e-05,5.08491e-05,5.08491e-05
2,106.285,1.21042,4.25029,1.20145,0.47024,0.09481,0.09253,0.06415,1.14281,3.93611,1.20251,9.71244e-05,9.71244e-05,9.71244e-05
3,155.828,1.28252,3.64361,1.29046,0.31968,0.24534,0.22307,0.15692,1.19213,3.49676,1.28167,0.000138318,0.000138318,0.000138318
4,207.019,1.34465,3.07884,1.36226,0.54269,0.32648,0.3498,0.2358,1.22823,3.0797,1.34098,0.000131131,0.000131131,0.000131131
5,256.964,1.32091,2.58932,1.37166,0.47299,0.46452,0.48573,0.31627,1.30958,2.57223,1.42671,0.000123508,0.000123508,0.000123508
6,307.297,1.32532,2.25045,1.37493,0.52558,0.54717,0.57212,0.36911,1.33984,2.19555,1.4803,0.000115885,0.000115885,0.000115885
7,357.811,1.29877,2.02347,1.35744,0.5314,0.59446,0.60436,0.40102,1.3097,1.96258,1.4505,0.000108262,0.000108262,0.000108262
8,407.396,1.25161,1.84465,1.32067,0.64285,0.62102,0.67124,0.43937,1.32741,1.7771,1.46127,0.000100639,0.000100639,0.000100639
9,457.939,1.25411,1.69687,1.33788,0.68179,0.68725,0.71248,0.45835,1.3268,1.60633,1.45082,9.3016e-05,9.3016e-05,9.3016e-05
10,507.685,1.23089,1.57753,1.30918,0.7106,0.69165,0.72381,0.46429,1.32223,1.46314,1.45759,8.5393e-05,8.5393e-05,8.5393e-05
11,550.786,1.12423,1.34561,1.31228,0.75172,0.75245,0.77083,0.50361,1.25168,1.36157,1.38208,7.777e-05,7.777e-05,7.777e-05
12,591.627,1.10795,1.26698,1.28718,0.75296,0.76575,0.80752,0.52641,1.26875,1.26428,1.38903,7.0147e-05,7.0147e-05,7.0147e-05
13,632.26,1.09042,1.20782,1.2853,0.80262,0.75406,0.80819,0.52395,1.30429,1.21978,1.41352,6.2524e-05,6.2524e-05,6.2524e-05
14,672.565,1.08222,1.16678,1.27337,0.77887,0.77001,0.81048,0.52262,1.30081,1.19418,1.39476,5.4901e-05,5.4901e-05,5.4901e-05
15,712.701,1.07458,1.14643,1.25983,0.82022,0.77859,0.82784,0.53247,1.30791,1.13866,1.39247,4.7278e-05,4.7278e-05,4.7278e-05
16,753.012,1.05753,1.09644,1.2549,0.81577,0.77637,0.84282,0.545,1.28915,1.10196,1.38238,3.9655e-05,3.9655e-05,3.9655e-05
17,793.418,1.04523,1.07662,1.24623,0.80957,0.81772,0.84506,0.54335,1.28806,1.07107,1.38754,3.2032e-05,3.2032e-05,3.2032e-05
18,832.712,1.03522,1.06013,1.22978,0.82637,0.81724,0.85568,0.54374,1.30154,1.06297,1.38762,2.4409e-05,2.4409e-05,2.4409e-05
19,873.183,1.02941,1.05063,1.22604,0.83629,0.83292,0.86083,0.55842,1.26573,1.03322,1.36497,1.6786e-05,1.6786e-05,1.6786e-05
20,913.547,1.02382,1.03269,1.22227,0.82828,0.83532,0.86809,0.56067,1.26943,1.03202,1.3692,9.163e-06,9.163e-06,9.163e-06
